Time,test,seed,t_stop,Ts,nT,nu,ny,n,params_A_1_1,params_A_2_1,params_A_1_2,params_A_2_2,params_B_1_1,params_B_2_1,params_B_1_2,params_B_2_2,params_C_1,params_C_2,params_D_1,params_D_2,obs_1,obs_2,obs_3,epsilon,sigma_M,sigma_wp_1,sigma_wp_2,KF1_P0_1_1,KF1_P0_2_1,KF1_P0_1_2,KF1_P0_2_2,KF1_Q_1_1,KF1_Q_2_1,KF1_Q_1_2,KF1_Q_2_2,KF1_R,KF2_P0_1_1,KF2_P0_2_1,KF2_P0_1_2,KF2_P0_2_2,KF2_Q_1_1,KF2_Q_2_1,KF2_Q_1_2,KF2_Q_2_2,KF2_R,KF3_P0_1_1,KF3_P0_2_1,KF3_P0_1_2,KF3_P0_2_2,KF3_Q_1_1,KF3_Q_2_1,KF3_Q_1_2,KF3_Q_2_2,KF3_R,RMSE_x_est_1_KF1,RMSE_x_est_2_KF1,RMSE_x_est_1_KF2,RMSE_x_est_2_KF2,RMSE_x_est_1_KF3,RMSE_x_est_2_KF3
31-May-2022 17:36:45,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1e-06,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,1000,0,0,1000,0.01,0,0,0.0001,0.01,2.39163194645359,0.964967255804568,0.290375993805713,0.188929651897624,0.676657871112215,0.321627433386483
31-May-2022 17:36:56,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,3.16e-06,0.01,1000,0,0,1000,0.01,0,0,0.0316,0.01,1000,0,0,1000,0.01,0,0,0.000316,0.01,1.76093038148167,0.722316699599921,0.311515048343433,0.196462927024843,0.50128866934658,0.262468838166835
31-May-2022 17:37:04,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1e-05,0.01,1000,0,0,1000,0.01,0,0,0.1,0.01,1000,0,0,1000,0.01,0,0,0.001,0.01,1.27673041066189,0.539008073904835,0.364613376081019,0.226232179550283,0.381574962662293,0.223114880855689
31-May-2022 17:37:12,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1.778e-05,0.01,1000,0,0,1000,0.01,0,0,0.1778,0.01,1000,0,0,1000,0.01,0,0,0.001778,0.01,1.0862559987117,0.468284668907103,0.399382506222512,0.249659375936127,0.340545777088296,0.209253685061038
31-May-2022 17:37:22,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,3.162e-05,0.01,1000,0,0,1000,0.01,0,0,0.3162,0.01,1000,0,0,1000,0.01,0,0,0.003162,0.01,0.925565481816258,0.409648668283663,0.437352693349876,0.277593564496144,0.311828375653884,0.198881498117856
31-May-2022 17:37:32,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,5.623e-05,0.01,1000,0,0,1000,0.01,0,0,0.5623,0.01,1000,0,0,1000,0.01,0,0,0.005623,0.01,0.790380567526555,0.361333400021052,0.476031440975059,0.307887014708622,0.295271980755045,0.192013547066027
31-May-2022 17:37:40,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,7.499e-05,0.01,1000,0,0,1000,0.01,0,0,0.7499,0.01,1000,0,0,1000,0.01,0,0,0.007499,0.01,0.731048512198331,0.34049735702424,0.494679921420844,0.32299873842867,0.291412962183412,0.189969255805195
31-May-2022 17:37:47,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.0001,0.01,1000,0,0,1000,0.01,0,0,1,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,0.676657871112215,0.321627433386483,0.512316704459235,0.337535428755516,0.290375993805713,0.188929651897624
31-May-2022 17:37:54,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00013335,0.01,1000,0,0,1000,0.01,0,0,1.3335,0.01,1000,0,0,1000,0.01,0,0,0.013335,0.01,0.626803276256298,0.304542638706616,0.528584507812889,0.351125428481896,0.292031441294467,0.188971858076485
31-May-2022 17:38:03,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00017783,0.01,1000,0,0,1000,0.01,0,0,1.7783,0.01,1000,0,0,1000,0.01,0,0,0.017783,0.01,0.581130850787404,0.289078350418956,0.543205895428767,0.363469271710879,0.29622771978108,0.190184105677357
31-May-2022 17:38:11,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00031623,0.01,1000,0,0,1000,0.01,0,0,3.1623,0.01,1000,0,0,1000,0.01,0,0,0.031623,0.01,0.501196615122279,0.262438441536458,0.566943833370534,0.383731484824478,0.311539755976427,0.196474336023807
31-May-2022 17:38:20,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.001,0.01,1000,0,0,1000,0.01,0,0,10,0.01,1000,0,0,1000,0.01,0,0,0.1,0.01,0.381574962662293,0.223114880855689,0.594305700294579,0.407366236727544,0.364613376081019,0.226232179550283
31-May-2022 17:38:29,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00316228,0.01,1000,0,0,1000,0.01,0,0,31.6228,0.01,1000,0,0,1000,0.01,0,0,0.316228,0.01,0.311824901831636,0.198880168835674,0.604830106479502,0.416522410850189,0.43735866158411,0.277598110934024
31-May-2022 17:38:37,4,2,2000,0.5,4000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.01,0.01,1000,0,0,1000,0.01,0,0,100,0.01,1000,0,0,1000,0.01,0,0,1,0.01,0.290375993805713,0.188929651897624,0.608400055404541,0.419635422512751,0.512316704459235,0.337535428755516
